ID,wave,study_condition,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7283,1,3,6,0,6,6,0,0,6,6,6
7284,1,2,6,6,6,6,0,0,6,6,6
7285,1,2,6,5,5,6,0,0,6,3,6
7286,1,3,6,6,6,4,0,0,6,4,0
7287,1,3,6,5,6,6,4,0,6,4,4
7288,1,3,6,4,6,6,0,0,6,6,6
7289,1,3,6,5,6,6,0,0,6,6,6
7290,1,2,6,6,6,6,0,2,6,6,6
7291,1,2,6,6,6,6,0,0,6,6,6
7292,1,4,6,6,6,6,0,0,6,6,6
7293,1,4,6,6,6,6,0,0,6,6,6
7294,1,1,6,3,6,5,0,0,6,4,3
7295,1,1,6,4,6,4,2,2,6,6,6
7296,1,1,6,6,6,5,0,0,6,6,5
7297,1,1,6,6,6,6,2,0,6,6,6
7298,1,3,6,6,4,6,0,0,6,4,4
7299,1,3,6,6,6,6,0,0,6,6,6
7300,1,1,6,6,6,6,0,0,6,6,4
7301,1,1,6,6,6,6,2,2,6,6,6
7302,1,3,6,6,5,6,0,0,6,6,6
7303,1,3,6,6,6,6,4,0,6,6,6
7304,1,4,6,6,6,2,0,0,6,6,5
7305,1,4,6,6,6,6,0,0,6,6,6
7306,1,4,6,4,6,4,2,0,6,6,6
7307,1,4,6,6,6,6,2,2,6,6,6
7308,1,1,6,6,6,6,0,0,6,6,6
7309,1,1,4,6,4,4,4,0,6,6,6
7310,1,3,6,6,6,6,0,0,6,6,6
7311,1,3,6,4,6,6,2,3,6,4,4
7312,1,4,6,6,5,6,0,0,6,6,6
7313,1,4,6,6,6,4,0,1,6,6,6
7314,1,1,6,5,6,6,0,0,6,6,4
7315,1,1,6,6,6,6,0,0,6,6,6
7316,1,4,6,4,5,5,6,6,4,4,4
7317,1,4,6,6,6,6,0,0,6,5,6
7318,1,3,6,5,6,6,0,0,6,6,6
7319,1,3,6,6,6,6,6,0,6,6,6
7320,1,1,6,6,4,6,0,0,6,6,6
7321,1,1,6,4,6,4,2,2,4,4,4
7322,1,4,6,0,4,6,0,0,6,6,6
7323,1,4,6,6,6,6,0,0,6,6,6
7324,1,4,6,6,6,6,1,0,6,6,6
7325,1,4,6,3,6,6,0,0,6,6,6
7326,1,3,6,6,6,6,6,4,6,6,6
7327,1,3,6,6,6,6,2,0,6,6,6
7328,1,3,4,4,4,3,1,3,5,3,1
7329,1,3,6,3,6,2,3,2,6,3,4
7330,1,3,6,4,6,4,0,0,6,6,6
7331,1,3,6,6,6,6,0,0,6,6,6
7332,1,4,6,4,6,2,4,4,5,6,4
7333,1,4,6,6,6,6,6,0,6,6,6
7334,1,2,6,0,4,6,0,0,6,6,5
7335,1,2,6,6,6,6,6,0,4,6,2
7336,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999
7337,1,2,6,6,6,5,2,1,6,5,5
7338,1,2,6,6,6,4,0,0,6,6,6
7339,1,2,6,6,6,5,0,1,6,5,6
7340,1,3,6,6,6,6,0,0,6,6,6
7341,1,3,6,2,6,6,1,0,6,5,6
7342,1,1,6,6,6,6,1,1,6,6,6
7343,1,1,6,6,6,6,0,1,5,6,5
7344,1,4,6,5,5,6,0,1,6,6,6
7345,1,4,6,6,6,6,0,0,6,6,6
7346,1,3,6,6,6,6,1,0,6,6,5
7347,1,3,6,6,6,6,0,0,6,6,6
7348,1,3,6,6,6,6,0,0,6,6,6
7349,1,3,6,6,6,6,0,0,6,6,6
7350,1,2,6,6,6,6,0,0,6,6,6
7351,1,2,6,6,6,6,0,0,6,6,6
7352,1,3,6,5,6,6,0,0,6,6,6
7353,1,3,6,6,6,6,0,1,5,5,5
7354,1,2,6,6,6,6,6,6,2,6,6
7355,1,2,4,6,6,6,2,2,4,6,6
7356,1,3,4,4,6,6,4,4,6,4,6
7357,1,3,6,4,6,2,2,2,6,4,2
7358,1,2,6,6,6,6,0,0,6,6,6
7359,1,2,6,6,6,6,2,2,6,6,6
7360,1,1,6,0,6,6,0,0,6,6,6
7361,1,1,6,6,6,6,6,0,6,6,6
7362,1,2,6,6,6,6,0,0,6,6,6
7363,1,2,6,6,6,6,2,0,6,6,5
7364,1,4,6,6,6,6,0,2,6,6,6
7365,1,4,6,6,6,6,0,0,6,6,6
7366,1,3,6,6,5,6,1,4,6,6,6
7367,1,3,6,6,6,6,6,0,6,6,6
7368,1,2,6,6,6,6,4,0,6,6,6
7369,1,2,6,6,6,6,0,0,6,6,6
7370,1,4,6,6,6,6,4,0,6,6,6
7371,1,4,6,4,6,5,0,0,6,6,5
7372,1,1,6,6,6,6,5,1,6,6,6
7373,1,1,6,6,6,6,0,0,4,6,6
7374,1,3,6,6,6,6,0,0,4,6,4
7375,1,3,6,6,6,6,0,0,6,6,6
7376,1,4,4,3,5,0,0,6,4,6,6
7377,1,4,6,6,6,6,0,0,6,6,6
7378,1,2,6,6,1,0,0,0,6,2,2
7379,1,2,6,6,6,6,4,4,6,6,6
7380,1,1,6,6,6,6,2,2,6,6,6
7381,1,1,6,6,6,6,0,0,6,6,6
7382,1,1,6,6,6,6,0,0,6,6,6
7383,1,1,6,6,6,6,0,0,6,6,6
7384,1,4,6,0,6,6,0,0,6,6,4
7385,1,4,6,2,6,0,0,0,6,6,6
7386,1,2,6,6,6,6,4,0,6,6,6
7387,1,2,6,6,5,6,1,1,1,5,5
7388,1,2,6,6,4,4,0,0,6,4,4
7389,1,2,6,6,6,6,0,0,6,6,6
7390,1,1,6,6,6,5,0,0,6,6,6
7391,1,1,6,6,6,5,0,0,6,6,6
7392,1,1,6,6,6,6,2,2,6,6,6
7393,1,1,6,6,6,6,0,0,6,6,6
7394,1,3,6,4,6,6,0,0,6,6,6
7395,1,3,6,2,6,6,2,2,-888,4,4
7396,1,4,3,4,4,6,0,0,4,4,5
7397,1,4,6,5,6,6,0,0,6,6,6
7398,1,3,6,0,6,6,0,0,1,3,5
7399,1,3,6,5,6,6,0,0,6,6,6
7400,1,4,6,2,2,6,0,0,6,6,6
7401,1,4,5,6,6,4,0,0,6,4,3
7402,1,3,6,4,3,6,0,0,6,6,6
7403,1,3,6,4,6,6,0,0,6,6,4
7404,1,1,6,2,6,5,1,2,5,4,4
7405,1,1,6,5,6,6,0,0,6,6,6
7406,1,2,6,5,5,5,2,0,6,2,6
7407,1,2,6,6,6,6,0,0,6,6,6
7408,1,2,6,5,6,6,3,0,6,5,5
7409,1,2,6,6,6,2,0,0,6,6,4
7410,1,3,6,6,6,6,0,0,6,6,6
7411,1,3,6,6,6,6,0,0,6,6,6
7412,1,4,6,5,5,6,5,0,6,6,6
7413,1,4,6,6,6,6,0,0,6,6,6
7414,1,2,6,6,6,6,0,0,6,6,6
7415,1,2,6,4,6,6,5,2,4,3,2
7416,1,1,6,4,4,6,0,0,6,6,6
7417,1,1,6,6,6,6,6,0,6,6,6
7418,1,3,6,0,6,6,2,0,6,6,6
7419,1,3,4,4,6,6,2,2,4,4,4
7420,1,2,6,5,6,6,0,0,6,6,6
7421,1,2,6,6,6,4,0,3,6,4,5
7422,1,1,6,4,6,6,0,0,6,6,6
7423,1,1,6,6,5,6,0,0,6,6,6
7424,1,3,6,6,6,6,0,0,6,6,6
7425,1,3,6,6,6,6,0,0,6,6,6
7426,1,1,6,0,6,6,0,0,6,6,6
7427,1,1,6,4,6,4,4,0,4,4,4
7428,1,4,6,5,4,6,0,0,6,6,6
7429,1,4,6,4,6,5,0,0,4,6,6
7430,1,3,6,4,5,3,0,0,5,6,6
7431,1,3,5,5,6,5,0,0,6,6,6
7432,1,2,6,6,6,6,0,2,6,6,6
7433,1,2,6,6,6,4,0,2,6,4,6
7434,1,4,6,6,6,6,0,0,6,6,5
7435,1,4,6,6,6,6,1,0,6,5,6
7436,1,4,6,6,6,6,0,0,6,6,6
7437,1,4,6,6,6,4,2,0,6,3,3
7438,1,1,6,4,6,2,1,1,4,4,4
7439,1,1,6,6,6,4,4,0,4,6,6
7440,1,4,6,6,6,6,0,0,6,6,6
7441,1,4,6,6,6,6,0,0,6,6,6
7442,1,1,6,6,5,4,0,0,4,4,4
7443,1,1,6,6,6,6,0,0,6,6,4
7444,1,3,2,0,3,0,0,0,0,0,0
7445,1,3,6,4,6,6,2,3,6,4,4
7446,1,1,6,6,6,6,1,2,6,6,5
7447,1,1,6,4,6,5,0,0,6,6,6
7448,1,2,6,6,6,6,0,0,6,6,4
7449,1,2,6,6,6,6,6,6,6,6,6
7450,1,1,6,6,6,6,0,0,6,6,6
7451,1,1,6,6,6,6,0,0,6,6,4
7452,1,1,6,4,6,4,4,2,6,6,5
7453,1,1,5,4,4,6,2,2,5,3,4
7454,1,3,6,4,4,6,6,5,4,6,6
7455,1,3,6,2,6,4,6,2,6,6,4
7456,1,4,6,6,6,6,5,1,5,5,5
7457,1,4,6,6,6,6,6,2,6,6,6
7458,1,3,6,6,6,6,0,0,6,6,6
7459,1,3,6,6,6,2,4,2,6,6,6
7460,1,2,6,6,6,6,0,0,6,6,6
7461,1,2,6,6,6,1,6,0,6,6,6
7462,1,1,6,4,6,6,4,0,6,6,6
7463,1,1,6,2,6,1,4,4,6,2,4
7464,1,4,6,6,6,6,0,0,6,6,6
7465,1,4,6,4,5,3,6,3,6,2,2
7466,1,3,6,6,6,6,0,0,6,6,6
7467,1,3,6,6,6,6,0,0,6,6,5
7468,1,4,6,6,6,6,4,2,6,5,5
7469,1,4,5,6,4,6,2,2,6,4,5
7470,1,4,6,6,6,4,0,0,6,6,6
7471,1,4,6,6,4,6,6,0,6,6,6
7472,1,1,6,2,6,6,0,0,6,6,6
7473,1,1,6,0,6,6,0,0,6,6,6
7474,1,2,6,4,4,6,2,1,4,4,4
7475,1,2,6,6,6,5,0,0,6,5,6
7476,1,1,5,6,5,5,0,0,6,6,6
7477,1,1,6,6,6,6,0,4,6,6,6
7478,1,3,6,6,6,6,1,0,6,6,6
7479,1,3,6,6,6,6,6,0,6,6,6
7480,1,2,6,2,6,4,0,0,6,6,6
7481,1,2,6,5,6,4,0,0,6,6,6
7482,1,4,6,6,6,6,0,0,6,6,6
7483,1,4,6,6,6,6,0,0,6,6,6
7484,1,1,6,6,4,6,0,2,6,6,6
7485,1,1,6,6,6,6,6,6,6,6,3
7486,1,2,6,4,6,6,0,0,6,6,4
7487,1,2,6,6,6,6,6,4,6,6,6
7488,1,3,6,6,6,6,0,0,6,6,6
7489,1,3,6,4,6,5,0,0,5,6,4
7490,1,1,6,6,6,6,0,0,6,6,6
7491,1,1,6,6,6,6,0,0,6,6,6
7492,1,4,5,6,5,5,0,0,6,5,5
7493,1,4,6,6,6,6,0,1,6,4,5
7494,1,4,6,5,6,6,0,0,5,6,6
7495,1,4,6,6,6,6,0,0,6,5,6
7496,1,1,6,6,6,6,0,0,6,6,6
7497,1,1,6,6,6,6,0,4,6,4,6
7498,1,3,6,6,6,6,0,0,6,6,6
7499,1,3,6,6,6,6,4,0,6,6,5
7500,1,3,6,4,6,5,0,0,5,5,6
7501,1,3,6,5,6,6,1,0,5,5,5
7502,1,2,6,5,6,6,1,0,6,5,5
7503,1,2,6,6,6,6,4,0,6,6,6
7504,1,4,6,6,6,6,6,2,6,6,2
7505,1,4,6,4,6,6,4,0,6,6,6
7506,1,1,5,0,4,6,0,0,3,4,5
7507,1,1,5,0,6,4,0,0,5,5,4
7508,1,4,5,1,5,3,1,1,4,2,3
7509,1,4,6,4,6,4,5,3,4,6,6
7510,1,2,6,6,6,6,5,0,5,6,4
7511,1,2,4,6,6,6,2,0,6,6,6
7512,1,3,6,6,6,6,0,0,6,6,6
7513,1,3,6,6,6,6,0,2,6,6,6
7514,1,3,6,6,6,6,1,1,6,6,6
7515,1,3,6,4,6,6,3,4,6,3,0
7516,1,2,6,6,6,6,0,0,6,6,6
7517,1,2,6,6,6,6,0,0,6,6,6
7518,1,3,6,6,6,6,0,4,6,6,6
7519,1,3,6,6,6,5,0,0,0,6,6
