ID,wave,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7310,4,6,2,6,6,0,0,6,6,6
7311,4,0,0,0,0,4,6,0,0,0
7312,4,6,6,6,6,0,0,6,6,6
7313,4,6,6,6,6,1,0,6,6,6
7314,4,6,5,6,6,0,3,5,4,5
7315,4,6,6,6,6,6,0,6,6,6
7316,4,6,6,6,6,0,0,6,6,6
7317,4,6,5,5,6,0,0,5,5,4
7318,4,6,6,6,6,0,0,6,6,6
7319,4,6,6,6,6,0,0,6,6,6
7320,4,5,5,4,6,1,0,5,5,4
7321,4,5,5,5,6,0,1,5,5,5
7322,4,6,5,6,6,1,0,6,5,5
7323,4,6,6,6,6,0,0,6,6,6
7324,4,6,6,6,6,0,0,6,6,6
7325,4,6,5,5,6,0,0,6,6,6
7326,4,6,6,6,6,0,0,6,6,6
7327,4,6,0,4,6,0,0,4,6,6
7328,4,6,4,6,6,0,0,6,6,6
7329,4,4,2,2,2,0,0,1,0,4
7330,4,4,2,3,3,3,1,2,2,4
7331,4,4,5,6,5,1,1,5,4,4
7332,4,6,6,6,6,0,0,6,6,4
7333,4,6,6,6,6,1,0,6,5,4
7334,4,6,2,6,4,6,4,4,6,4
7335,4,6,4,6,6,6,2,6,6,6
7336,4,6,6,4,5,0,0,6,4,4
7337,4,6,6,6,6,0,0,6,6,6
7338,4,6,5,6,5,0,5,6,6,6
7339,4,6,4,6,6,5,0,6,6,5
7340,4,6,6,6,6,0,0,6,6,6
7341,4,6,4,4,4,0,0,4,4,4
7342,4,6,5,5,5,4,1,4,4,5
7343,4,6,6,6,6,0,0,6,6,6
7344,4,6,2,4,6,0,0,6,6,6
7345,4,6,6,6,6,6,2,6,6,6
7346,4,6,4,6,2,2,1,6,6,6
7347,4,6,6,6,6,5,0,2,0,2
7348,4,6,4,6,6,0,0,6,4,4
7349,4,6,6,6,6,0,0,6,6,6
7350,4,4,0,3,4,1,2,4,3,2
7351,4,5,3,4,3,0,1,4,3,2
7352,4,4,5,5,2,0,0,4,6,6
7353,4,5,5,6,2,0,0,5,5,5
7354,4,6,6,6,6,0,2,6,6,6
7355,4,6,6,6,4,0,0,6,6,4
7356,4,6,6,6,6,0,0,6,6,5
7357,4,6,6,6,6,4,0,6,6,6
7358,4,6,6,6,6,0,0,6,6,6
7359,4,6,6,6,4,2,3,5,5,5
7360,4,4,4,4,2,4,-888,2,4,4
7361,4,6,6,6,6,0,0,6,6,4
7362,4,5,3,5,1,0,1,4,3,5
7363,4,6,5,6,6,0,2,6,4,5
7364,4,6,4,6,6,1,2,6,4,2
7365,4,6,4,6,6,0,0,6,6,6
7366,4,6,6,6,4,0,0,6,6,4
7367,4,6,3,5,6,2,2,6,6,6
7368,4,6,4,6,6,0,0,6,4,6
7369,4,6,6,6,6,0,0,6,6,6
7370,4,6,5,4,6,0,0,5,6,6
7371,4,5,5,5,5,6,1,5,5,5
7372,4,6,6,6,6,0,0,6,6,6
7373,4,6,6,6,6,0,0,6,6,6
7374,4,6,6,6,6,0,0,6,6,6
7375,4,6,6,6,6,0,0,6,6,5
7376,4,6,6,6,6,0,0,6,6,6
7377,4,6,4,6,6,0,0,4,6,6
7378,4,4,2,6,0,6,4,4,3,1
7379,4,6,4,6,5,2,0,5,5,4
7380,4,5,2,5,5,6,5,3,2,3
7381,4,5,6,5,4,2,0,6,5,5
7382,4,5,5,5,4,0,0,4,3,3
7383,4,6,6,6,6,0,0,6,6,6
7384,4,6,6,6,6,0,0,6,6,6
7385,4,6,2,4,6,2,2,6,2,4
7386,4,6,6,6,5,0,0,6,6,6
7387,4,3,4,4,4,0,0,4,4,3
7388,4,4,2,4,2,0,0,6,6,6
7389,4,6,4,6,4,2,0,6,4,5
7390,4,6,6,6,6,1,1,6,6,6
7391,4,6,6,6,6,0,2,6,6,6
7392,4,6,6,6,6,0,0,6,6,6
7393,4,6,6,6,6,4,1,6,6,6
7394,4,5,3,5,4,3,3,5,5,5
7395,4,6,4,6,6,0,2,6,6,6
7396,4,4,4,5,6,0,0,6,4,3
7397,4,6,5,6,6,0,0,5,6,5
7398,4,6,5,6,6,0,3,6,6,6
7399,4,6,3,6,6,0,0,6,5,6
7400,4,6,6,4,6,0,0,4,2,2
7401,4,6,6,6,6,6,4,5,4,4
7402,4,6,6,6,6,0,0,6,6,6
7403,4,5,5,6,6,1,4,6,5,5
7404,4,6,6,6,6,1,1,6,5,5
7405,4,6,5,3,5,3,2,5,5,4
7406,4,6,6,6,6,0,0,6,6,6
7407,4,6,6,6,6,2,2,4,6,4
7408,4,6,4,6,2,0,0,4,4,4
7409,4,5,0,4,5,0,0,3,3,2
7410,4,6,2,6,2,0,0,6,4,4
7411,4,6,6,6,6,0,0,6,6,6
7412,4,6,6,6,-888,0,0,6,6,6
7413,4,6,6,6,6,0,0,6,6,6
7414,4,6,4,6,4,0,2,4,2,2
7415,4,6,6,6,6,0,0,6,6,6
7416,4,6,6,6,6,0,0,6,6,6
